noise_std,noise_percentage,noise_mean,seed,task,run,duplicate,accuracy,accuracy_pass_at_1,accuracy_pass_at_2,accuracy_pass_at_5
0.004,1.0,0.0,1,gsm8k,1,0,0.03333333333333333,,,
0.004,1.0,0.0,2,gsm8k,1,0,0.03333333333333333,,,
0.004,1.0,0.0,3,gsm8k,1,0,0.0,,,
0.004,1.0,0.0,4,gsm8k,1,0,0.13333333333333333,,,
0.004,1.0,0.0,5,gsm8k,1,0,0.03333333333333333,,,
0.004,1.0,0.0,6,gsm8k,1,0,0.0,,,
0.004,1.0,0.0,7,gsm8k,1,0,0.03333333333333333,,,
0.004,1.0,0.0,8,gsm8k,1,0,0.0,,,
0.004,1.0,0.0,9,gsm8k,1,0,0.0,,,
0.004,1.0,0.0,10,gsm8k,1,0,0.03333333333333333,,,
0.0045,1.0,0.0,1,gsm8k,1,0,0.03333333333333333,,,
0.0045,1.0,0.0,2,gsm8k,1,0,0.13333333333333333,,,
0.0045,1.0,0.0,3,gsm8k,1,0,0.03333333333333333,,,
0.0045,1.0,0.0,4,gsm8k,1,0,0.06666666666666667,,,
0.0045,1.0,0.0,5,gsm8k,1,0,0.06666666666666667,,,
0.0045,1.0,0.0,6,gsm8k,1,0,0.0,,,
0.0045,1.0,0.0,7,gsm8k,1,0,0.0,,,
0.0045,1.0,0.0,8,gsm8k,1,0,0.0,,,
0.0045,1.0,0.0,9,gsm8k,1,0,0.0,,,
0.0045,1.0,0.0,10,gsm8k,1,0,0.0,,,
0.005,1.0,0.0,1,gsm8k,1,0,0.03333333333333333,,,
0.005,1.0,0.0,2,gsm8k,1,0,0.2,,,
0.005,1.0,0.0,3,gsm8k,1,0,0.0,,,
0.005,1.0,0.0,4,gsm8k,1,0,0.06666666666666667,,,
0.005,1.0,0.0,5,gsm8k,1,0,0.03333333333333333,,,
0.005,1.0,0.0,6,gsm8k,1,0,0.03333333333333333,,,
0.005,1.0,0.0,7,gsm8k,1,0,0.06666666666666667,,,
0.005,1.0,0.0,8,gsm8k,1,0,0.0,,,
0.005,1.0,0.0,9,gsm8k,1,0,0.03333333333333333,,,
0.005,1.0,0.0,10,gsm8k,1,0,0.0,,,
0.0055,1.0,0.0,1,gsm8k,1,0,0.03333333333333333,,,
0.0055,1.0,0.0,2,gsm8k,1,0,0.2,,,
0.0055,1.0,0.0,3,gsm8k,1,0,0.0,,,
0.0055,1.0,0.0,4,gsm8k,1,0,0.0,,,
0.0055,1.0,0.0,5,gsm8k,1,0,0.06666666666666667,,,
0.0055,1.0,0.0,6,gsm8k,1,0,0.03333333333333333,,,
0.0055,1.0,0.0,7,gsm8k,1,0,0.03333333333333333,,,
0.0055,1.0,0.0,8,gsm8k,1,0,0.0,,,
0.0055,1.0,0.0,9,gsm8k,1,0,0.0,,,
0.0055,1.0,0.0,10,gsm8k,1,0,0.0,,,
0.006,1.0,0.0,1,gsm8k,1,0,0.03333333333333333,,,
0.006,1.0,0.0,2,gsm8k,1,0,0.16666666666666666,,,
0.006,1.0,0.0,3,gsm8k,1,0,0.13333333333333333,,,
0.006,1.0,0.0,4,gsm8k,1,0,0.06666666666666667,,,
0.006,1.0,0.0,5,gsm8k,1,0,0.03333333333333333,,,
0.006,1.0,0.0,6,gsm8k,1,0,0.06666666666666667,,,
0.006,1.0,0.0,7,gsm8k,1,0,0.06666666666666667,,,
0.006,1.0,0.0,8,gsm8k,1,0,0.0,,,
0.006,1.0,0.0,9,gsm8k,1,0,0.06666666666666667,,,
0.006,1.0,0.0,10,gsm8k,1,0,0.0,,,
